"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","TRADEGOOD","IMP","PC_CHGPP","A","2020",-11.56441,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2008",11.69173,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2009",-21.97861,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2010",13.583,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2011",19.22448,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2012",-7.326942,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2013",2.176085,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2014",2.118657,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2015",-13.28442,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2016",0.3366886,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2017",10.603,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2018",10.61667,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2019",-3.951968,
"DEU","TRADEGOOD","IMP","PC_CHGPP","A","2020",-5.533592,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2008",13.71522,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2009",-23.17875,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2010",-11.42325,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2011",1.687986,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2012",-7.671648,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2013",-0.9460889,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2014",1.622495,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2015",-24.43581,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2016",0.111306,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2017",14.33498,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2018",19.37957,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2019",-2.484089,
"GRC","TRADEGOOD","IMP","PC_CHGPP","A","2020",-10.34586,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2008",14.73826,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2009",-28.76127,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2010",13.13344,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2011",16.63845,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2012",-7.091711,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2013",4.781444,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2014",4.588984,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2015",-12.58126,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2016",1.872008,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2017",13.29845,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2018",11.85881,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2019",-0.05953311,
"HUN","TRADEGOOD","IMP","PC_CHGPP","A","2020",-3.216374,
