"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2009",-23.49019,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2010",14.88399,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2011",18.09379,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2012",-7.632201,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2013",4.441647,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2014",3.927426,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2015",-10.59338,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2016",2.810109,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2017",10.51791,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2018",8.688892,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2019",-1.409567,
"HUN","TRADEGOOD","EXP","PC_CHGPP","A","2020",-2.042248,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2008",26.70461,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2009",-24.08059,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2010",13.45159,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2011",16.23681,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2012",-4.978631,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2013",-1.308024,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2014",1.536803,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2015",-5.948529,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2016",-5.951725,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2017",9.04386,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2018",14.68882,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2019",-7.315847,
"ISL","TRADEGOOD","EXP","PC_CHGPP","A","2020",-11.40868,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2008",3.61427,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2009",-8.240095,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2010",1.76859,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2011",8.308499,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2012",-6.861372,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2013",-1.475883,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2014",4.156703,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2015",1.536061,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2016",6.093746,
"IRL","TRADEGOOD","EXP","PC_CHGPP","A","2017",5.237898,
